,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
58,hermanus,3,ZA,1574189912,85,-34.42,19.24,59.0,10.67
59,arraial do cabo,90,BR,1574189912,100,-22.97,-42.02,73.4,10.29
60,bozoum,93,CF,1574189912,45,6.31,16.38,76.96,1.83
61,bemidji,90,US,1574189912,93,47.48,-94.89,37.99,12.75
62,san patricio,6,PY,1574189912,31,-26.98,-56.83,101.08,1.83
63,port alfred,0,ZA,1574189913,71,-33.59,26.89,60.46,13.91
64,tasiilaq,75,GL,1574189913,92,65.61,-37.64,32.0,8.05
65,port elizabeth,1,US,1574189913,58,39.31,-74.98,54.0,6.62
66,new norfolk,90,AU,1574189913,71,-42.78,147.06,51.8,10.29
67,codrington,90,AU,1574189801,93,-28.95,153.24,68.0,9.17
68,maua,95,KE,1574189913,87,0.23,37.94,70.5,4.83
69,busselton,56,AU,1574189914,67,-33.64,115.35,55.99,21.39
70,malaya serdoba,100,RU,1574189914,85,52.47,44.96,35.37,9.84
71,coquimbo,20,CL,1574189692,64,-29.95,-71.34,68.0,10.29
72,la grande,40,US,1574189915,75,45.32,-118.09,48.99,4.7
73,chumikan,97,RU,1574189915,77,54.72,135.31,-5.66,10.8
74,verkhnevilyuysk,100,RU,1574189915,95,63.45,120.31,-9.27,6.78
75,saint-philippe,90,CA,1574189915,97,45.36,-73.48,34.0,3.36
76,caninde de sao francisco,20,BR,1574189915,22,-9.66,-37.79,96.8,10.29
77,paraiba do sul,100,BR,1574189915,83,-22.16,-43.29,75.99,3.69
78,chuy,0,UY,1574189915,45,-33.69,-53.46,82.4,2.42
79,inirida,100,CO,1574189916,50,3.87,-67.92,91.22,2.51
80,pacific grove,40,US,1574189916,67,36.62,-121.92,64.0,9.17
81,nanortalik,75,GL,1574189916,80,60.14,-45.24,34.97,10.04
82,hilo,90,US,1574189748,78,19.71,-155.08,75.0,9.17
83,iqaluit,75,CA,1574189917,84,63.75,-68.52,5.0,10.29
84,alofi,88,NU,1574189917,94,-19.06,-169.92,75.2,1.12
85,mankono,50,CI,1574189917,67,8.06,-6.19,81.46,5.17
86,vostok,100,RU,1574189917,97,46.45,135.83,0.45,5.35
87,broken hill,100,AU,1574189917,17,-31.97,141.45,75.2,5.82
88,richards bay,90,ZA,1574189917,87,-28.77,32.06,70.72,25.79
89,batagay-alyta,85,RU,1574189917,95,67.8,130.41,-8.66,0.31
90,charters towers,48,AU,1574189918,95,-20.07,146.27,68.09,7.02
91,cherskiy,32,RU,1574189918,98,68.75,161.3,-17.05,0.98
92,praya,20,ID,1574189918,83,-8.71,116.27,80.6,2.57
93,kavieng,100,PG,1574189918,73,-2.57,150.8,83.66,7.81
94,rocha,32,UY,1574189918,66,-34.48,-54.34,80.35,3.06
95,ugoofaaru,79,MV,1574189918,74,5.67,73.0,83.21,9.93
96,nemuro,13,JP,1574189919,58,43.32,145.57,32.54,32.14
97,salvacion,75,PH,1574189919,83,14.63,120.99,82.4,1.12
98,berlevag,75,NO,1574189919,92,70.86,29.09,30.2,31.09
99,imbituba,20,BR,1574189919,61,-28.24,-48.67,82.4,16.11
100,mayo,75,CA,1574189919,84,63.59,-135.9,3.2,2.24
101,buraydah,75,SA,1574189919,76,26.33,43.97,57.2,4.7
102,sussex,90,CA,1574189920,93,45.72,-65.51,35.6,11.41
103,mutoko,43,ZW,1574189920,63,-17.4,32.23,74.79,3.27
104,nikolskoye,75,RU,1574189920,93,59.7,30.79,42.01,6.71
105,coffs harbour,90,AU,1574189920,72,-30.3,153.13,64.4,10.29
106,bontang,31,ID,1574189920,77,0.12,117.47,81.73,5.95
107,tuatapere,85,NZ,1574189920,91,-46.13,167.69,43.0,8.99
108,havoysund,100,NO,1574189920,74,71.0,24.66,37.4,20.8
109,cape coast,0,GH,1574189921,75,5.11,-1.24,83.37,9.89
110,cabo san lucas,75,MX,1574189835,69,22.89,-109.91,84.0,11.41
111,kruisfontein,0,ZA,1574189921,77,-34.0,24.73,56.53,14.56
112,cockburn town,94,TC,1574189921,74,21.46,-71.14,81.91,10.49
113,luderitz,12,NA,1574189921,59,-26.65,15.16,64.4,18.34
114,tuktoyaktuk,20,CA,1574189765,75,69.44,-133.03,-18.4,3.36
115,pevek,48,RU,1574189922,98,69.7,170.27,-6.99,3.09
116,kysyl-syr,99,RU,1574189922,98,63.9,122.77,-10.25,4.9
117,comodoro rivadavia,100,AR,1574189922,20,-45.87,-67.48,84.2,34.45
118,brigantine,20,US,1574189922,71,39.41,-74.36,54.0,4.7
119,lannion,75,FR,1574189923,93,48.73,-3.46,48.2,6.93
120,skibbereen,75,IE,1574189924,93,51.55,-9.27,44.6,9.17
121,cubuk,46,TR,1574189924,60,40.24,33.03,46.0,2.24
122,ancud,90,CL,1574189924,100,-41.87,-73.83,55.4,21.92
123,lasa,0,CY,1574189924,58,34.92,32.53,60.8,6.93
124,panzhihua,26,CN,1574189924,80,26.59,101.72,50.2,1.7
125,pangody,100,RU,1574189925,95,65.85,74.49,7.61,10.47
126,jizan,31,SA,1574189925,66,16.89,42.56,84.2,3.36
127,esperance,90,AU,1574189925,93,-33.86,121.89,59.0,10.29
128,lima duarte,100,BR,1574189925,83,-21.84,-43.79,75.99,2.86
129,provideniya,100,RU,1574189925,93,64.42,-173.23,15.76,20.94
130,vila franca do campo,20,PT,1574189925,67,37.72,-25.43,62.6,10.29
131,kostrzyn,14,PL,1574189926,93,52.4,17.23,44.01,4.7
132,makakilo city,75,US,1574189926,88,21.35,-158.09,73.4,6.93
133,tilichiki,82,RU,1574189926,87,60.47,166.1,2.71,9.75
134,gondanglegi,100,ID,1574189926,91,-7.75,112.01,72.72,4.07
135,pisco,75,PE,1574189926,30,-13.71,-76.2,71.6,8.05
136,doha,75,QA,1574189741,78,25.29,51.53,73.4,13.87
137,vilhena,75,BR,1574189926,94,-12.74,-60.15,71.6,14.99
138,mar del plata,100,AR,1574189927,28,-46.43,-67.52,74.8,28.88
139,heihe,20,RU,1574189927,64,50.24,127.51,-0.4,6.71
140,kodiak,1,US,1574189802,44,39.95,-94.76,60.01,9.17
141,dok kham tai,0,TH,1574189927,88,19.16,99.99,65.48,1.74
142,bayanday,33,RU,1574189927,90,53.07,105.52,2.68,3.87
143,katobu,41,ID,1574189927,87,-4.94,122.53,72.9,3.44
144,la ronge,90,CA,1574189674,72,55.1,-105.3,17.6,11.41
145,nuuk,90,GL,1574189928,100,64.17,-51.74,26.6,5.82
146,gouyave,40,GD,1574189928,79,12.16,-61.73,86.0,13.87
147,amapa,75,HN,1574189928,61,15.09,-87.97,82.0,5.82
148,bethel,90,US,1574189638,92,60.79,-161.76,12.2,31.09
149,lompoc,1,US,1574189928,41,34.64,-120.46,72.0,6.08
150,newport,75,GB,1574189916,93,51.59,-3.0,46.99,9.17
151,narsaq,75,GL,1574189929,55,60.91,-46.05,37.4,1.12
152,ajdabiya,0,LY,1574189929,41,30.75,20.22,71.26,12.15
153,havelock,90,US,1574189652,81,34.88,-76.9,51.8,4.7
154,muriwai beach,32,NZ,1574189929,82,-36.82,174.45,61.0,5.82
155,sangmelima,79,CM,1574189900,68,2.93,11.98,74.3,0.96
156,ixtapa,5,MX,1574189930,58,20.71,-105.21,84.2,5.82
157,klaksvik,100,FO,1574189930,86,62.23,-6.59,37.4,12.75
158,pochutla,90,MX,1574189930,70,15.74,-96.47,86.0,10.11
159,quelimane,20,MZ,1574189930,83,-17.88,36.89,82.4,12.75
160,mariental,40,BR,1574189931,50,-25.72,-49.65,81.0,9.17
161,yining,57,CN,1574189931,49,29.04,114.56,40.05,1.03
162,souillac,62,FR,1574189931,86,45.6,-0.6,46.99,3.36
163,kankan,92,GN,1574189931,35,10.38,-9.3,83.57,2.39
164,cabedelo,75,BR,1574189931,62,-6.97,-34.84,84.2,14.99
165,alta floresta,60,BR,1574189931,67,-9.87,-56.08,83.39,2.57
166,severo-kurilsk,100,RU,1574189931,96,50.68,156.12,29.28,5.77
167,touros,75,BR,1574189932,58,-5.2,-35.46,84.2,16.11
168,tezu,95,IN,1574189932,69,27.93,96.16,63.52,1.52
169,praia,75,BR,1574189932,83,-20.25,-43.81,71.6,4.7
170,norsup,99,VU,1574189932,100,-16.07,167.38,77.0,8.05
171,itarema,49,BR,1574189707,49,-2.92,-39.92,88.43,16.26
172,hovd,90,NO,1574189933,99,63.83,10.7,36.0,2.24
173,hithadhoo,60,MV,1574189933,78,-0.6,73.08,82.38,15.05
174,hakkari,90,FI,1574189933,100,61.34,23.75,42.01,9.17
175,pontes e lacerda,95,BR,1574189933,88,-15.23,-59.33,77.34,1.99
176,kharp,56,RU,1574189933,66,66.82,65.8,-3.62,11.72
177,nantucket,75,US,1574189715,76,41.28,-70.1,50.0,5.66
178,caraballeda,40,VE,1574189934,62,10.61,-66.85,89.6,5.82
179,victoria,75,BN,1574189717,94,5.28,115.24,78.8,7.38
180,new castle,90,US,1574189679,93,41.0,-80.35,41.0,2.95
181,verkhoyansk,91,RU,1574189935,98,67.55,133.39,-17.09,1.39
182,valparaiso,75,US,1574189936,80,41.47,-87.06,42.01,4.38
183,margate,90,AU,1574189711,71,-43.03,147.26,51.8,10.29
184,longyearbyen,75,NO,1574189936,68,78.22,15.63,30.2,17.22
185,nouadhibou,39,MR,1574189936,56,20.93,-17.03,69.8,20.8
186,torbay,90,CA,1574189937,93,47.66,-52.73,48.2,2.24
187,luebo,64,CD,1574189937,93,-5.35,21.42,71.44,1.3
188,bartica,75,GY,1574189937,55,6.41,-58.62,91.4,11.41
189,suez,0,EG,1574189937,22,29.97,32.54,64.24,4.56
190,tabuk,100,PH,1574189937,91,17.41,121.44,71.49,10.25
191,lincoln,75,GB,1574189641,93,53.23,-0.54,39.0,10.29
192,vao,87,EE,1574189938,91,59.1,26.19,38.53,9.01
193,bredasdorp,0,ZA,1574189938,55,-34.53,20.04,60.8,9.17
194,tromso,20,NO,1574189938,64,69.65,18.96,39.2,35.57
195,lavrentiya,54,RU,1574189938,73,65.58,-170.99,23.99,28.27
196,billings,75,US,1574189938,58,45.79,-108.5,46.0,5.82
197,kushima,99,JP,1574189939,81,31.5,131.29,44.01,8.99
198,tibati,49,CM,1574189939,36,6.47,12.63,76.5,2.66
199,kamenka,96,MD,1574189939,95,48.03,28.7,50.0,8.55
200,nyrob,0,RU,1574189939,94,60.74,56.73,-6.86,4.21
201,dakar,100,SN,1574189709,54,14.69,-17.45,78.8,11.41
202,la asuncion,48,AR,1574189940,28,-26.05,-65.39,84.34,8.34
203,sheregesh,100,RU,1574189940,95,52.93,87.98,9.59,3.65
204,ponta do sol,100,BR,1574189940,71,-20.63,-46.0,77.81,6.06
205,ola,4,RU,1574189940,75,59.58,151.3,11.64,10.96
206,ponta delgada,20,PT,1574189941,67,37.73,-25.67,62.6,10.29
207,shakawe,67,BW,1574189941,42,-18.36,21.84,84.11,4.68
208,pangnirtung,20,CA,1574189941,78,66.15,-65.72,12.2,3.36
209,sasykoli,47,RU,1574189941,55,47.55,47.0,34.75,5.68
210,vadamadurai,30,IN,1574189942,87,10.47,78.08,73.87,2.37
211,gopalpur,8,BD,1574189942,50,24.18,89.13,68.49,3.96
212,port hedland,0,AU,1574189943,94,-20.31,118.58,75.2,4.7
213,plasencia,100,ES,1574189943,84,40.03,-6.09,48.0,1.05
214,kontagora,33,NG,1574189943,29,10.4,5.47,85.08,4.72
215,alexandria,39,RO,1574189714,91,43.97,25.33,55.0,4.0
216,goderich,93,CA,1574189944,87,43.74,-81.71,42.01,4.52
217,yasnyy,6,RU,1574189944,92,64.04,44.09,6.58,6.76
218,karratha,0,AU,1574189944,82,-20.74,116.85,78.89,15.73
219,necochea,15,AR,1574189793,51,-38.55,-58.74,73.99,5.01
220,tazovskiy,93,RU,1574189755,96,67.47,78.7,4.82,11.23
221,awbari,17,LY,1574189945,21,26.59,12.77,71.01,7.27
222,coihaique,90,CL,1574189945,81,-45.58,-72.07,53.6,16.11
223,evensk,100,RU,1574189945,73,61.92,159.24,13.19,11.36
224,siguiri,53,GN,1574189945,23,11.42,-9.17,87.57,2.48
225,boke,53,GN,1574189945,68,10.95,-14.28,83.3,7.74
226,mahebourg,40,MU,1574189946,83,-20.41,57.7,78.8,3.36
227,bouna,48,CI,1574189946,33,9.27,-3.0,88.7,2.48
228,mehamn,75,NO,1574189946,89,71.03,27.85,37.4,19.46
229,the valley,40,AI,1574189946,70,18.22,-63.06,84.99,10.29
230,saint-pierre,90,FR,1574189946,93,48.95,4.24,37.4,8.05
231,chumphon,49,TH,1574189946,94,10.5,99.18,73.04,1.86
232,geraldton,90,CA,1574189946,86,49.72,-86.95,32.0,2.15
233,zhengjiatun,0,CN,1574189947,38,43.51,123.51,13.39,4.79
234,lebu,96,ET,1574189947,78,8.96,38.73,56.16,4.85
235,amatitan,40,MX,1574189947,60,20.83,-103.72,77.0,5.82
236,jardim,38,BR,1574189947,24,-21.48,-56.15,102.52,2.44
237,butaritari,35,KI,1574189947,66,3.07,172.79,82.74,3.36
238,bambous virieux,40,MU,1574189947,83,-20.34,57.76,78.8,3.36
239,artigas,72,BR,1574189947,46,-30.4,-56.46,86.63,7.72
240,gweru,78,ZW,1574189948,84,-19.46,29.82,68.29,3.74
241,halifax,90,CA,1574189697,93,44.65,-63.58,45.0,9.17
242,teya,75,MX,1574189948,50,21.05,-89.07,82.0,5.82
243,namatanai,100,PG,1574189948,75,-3.66,152.44,82.81,9.33
244,maine-soroa,18,NE,1574189948,19,13.21,12.02,88.93,9.51
245,talnakh,75,RU,1574189948,84,69.49,88.39,6.8,2.24
246,kristinehamn,100,SE,1574189949,93,59.31,14.11,43.0,9.17
247,vernon,90,CA,1574189949,93,50.27,-119.27,43.0,6.17
248,saldanha,100,PT,1574189949,75,41.42,-6.55,43.47,0.81
249,sitka,0,US,1574189949,32,37.17,-99.65,71.01,20.0
250,tres picos,48,MX,1574189949,51,16.23,-93.58,81.88,0.92
251,calafell,0,ES,1574189949,75,41.2,1.57,53.01,5.82
252,santiago del estero,36,AR,1574189949,27,-27.8,-64.26,97.48,13.69
253,nome,1,US,1574189950,44,30.04,-94.42,78.01,4.05
254,clyde river,75,CA,1574189950,72,70.47,-68.59,15.8,20.8
255,faanui,38,PF,1574189696,76,-16.48,-151.75,79.29,6.35
256,morehead,90,US,1574189950,53,38.18,-83.43,54.0,8.05
257,fairbanks,75,US,1574189950,70,64.84,-147.72,1.99,6.93
258,roebourne,24,AU,1574189951,83,-20.77,117.15,73.76,8.72
259,jiazi,40,CN,1574189951,73,19.61,110.49,71.6,6.71
260,lakes entrance,1,AU,1574189951,93,-37.88,147.99,52.0,5.82
261,tevriz,100,RU,1574189951,90,57.51,72.4,-8.84,8.39
262,vardo,40,US,1574189951,61,39.62,-77.74,54.0,6.89
263,gandajika,60,CD,1574189951,91,-6.75,23.95,69.57,2.21
264,teguldet,100,RU,1574189952,95,57.31,88.17,6.55,3.74
265,qasigiannguit,75,GL,1574189952,68,68.82,-51.19,28.4,12.75
266,dingle,100,PH,1574189952,93,11.0,122.67,74.03,0.43
267,roma,20,IT,1574189952,67,41.89,12.48,59.0,6.93
268,kerema,92,PG,1574189952,92,-7.96,145.78,73.45,2.57
269,olonets,100,RU,1574189953,84,60.98,32.97,40.75,8.81
270,dergachi,80,RU,1574189953,79,51.24,48.77,31.14,12.01
271,marawi,98,PH,1574189953,89,8.0,124.29,75.0,5.99
272,saskylakh,97,RU,1574189953,98,71.97,114.09,-3.05,8.25
273,hobyo,100,SO,1574189953,78,5.35,48.53,80.49,13.02
274,powell river,20,CA,1574189953,100,49.84,-124.52,50.0,2.77
275,valle de allende,72,MX,1574189954,52,26.94,-105.39,68.99,1.79
276,luxor,0,EG,1574189954,56,25.7,32.65,73.4,6.78
277,naze,40,NG,1574189954,83,5.43,7.07,80.6,3.36
278,basco,90,US,1574189954,76,40.33,-91.2,53.01,9.17
279,waipawa,50,NZ,1574189954,79,-39.94,176.59,55.0,8.99
280,auki,42,NG,1574189955,27,12.18,6.51,82.85,1.79
281,san policarpo,100,PH,1574189955,84,12.18,125.51,77.94,4.12
282,mao,40,DO,1574189690,49,19.55,-71.08,91.4,9.17
283,isangel,20,VU,1574189955,93,-19.55,169.27,62.6,11.83
284,tungor,100,RU,1574189955,84,53.39,142.95,30.94,21.12
285,tabou,78,CI,1574189955,81,4.42,-7.36,79.65,3.11
286,huron,1,US,1574189956,57,44.36,-98.21,48.2,6.93
287,padang,100,ID,1574189956,98,-0.92,100.36,68.63,2.17
288,los arcos,20,MX,1574189956,50,18.89,-99.02,78.8,5.82
289,ketchikan,1,US,1574189956,93,55.34,-131.65,39.2,5.82
290,majene,26,ID,1574189956,86,-3.54,118.97,75.88,3.87
291,avera,1,US,1574189957,41,33.19,-82.53,62.6,9.17
292,los llanos de aridane,20,ES,1574189957,68,28.66,-17.92,69.01,9.17
293,palma,31,BR,1574189957,43,-29.73,-53.58,88.11,3.74
294,chancay,90,PE,1574189957,77,-11.56,-77.27,69.8,5.82
295,ampanihy,0,MG,1574189957,69,-24.69,44.75,79.03,9.26
296,puerto suarez,40,BO,1574189957,42,-18.96,-57.8,100.4,5.82
297,ahipara,0,NZ,1574189957,100,-35.17,173.16,51.01,12.19
298,sao filipe,100,CV,1574189957,81,14.9,-24.5,73.85,19.55
299,yumen,18,CN,1574189958,55,40.29,97.04,21.67,1.34
300,pio xii,62,BR,1574189958,55,-3.89,-45.17,88.47,2.89
301,lorengau,66,PG,1574189958,77,-2.02,147.27,82.36,7.49
302,rauma,75,FI,1574189840,93,61.13,21.5,42.8,11.41
303,pipri,90,IN,1574189958,66,24.21,83.02,63.37,2.71
304,charlottesville,1,US,1574189958,76,38.03,-78.48,54.0,3.36
305,camocim,29,BR,1574189958,54,-2.9,-40.84,88.36,15.55
306,boyolangu,100,ID,1574189959,91,-8.09,111.9,72.72,4.07
307,koutsouras,0,GR,1574189959,71,35.03,25.95,63.0,1.99
308,muisne,75,EC,1574189960,74,0.61,-80.02,84.2,8.05
309,palana,100,RU,1574189960,74,59.08,159.95,22.21,12.77
310,chattanooga,1,US,1574189706,50,35.05,-85.31,59.0,3.36
311,mrakovo,75,BA,1574189961,87,43.97,18.28,48.2,3.18
312,praia da vitoria,20,PT,1574189961,67,38.73,-27.07,62.6,15.88
313,devonport,33,AU,1574189961,80,-41.18,146.36,54.0,5.01
314,coahuayana,16,MX,1574189961,57,18.62,-100.35,86.79,2.04
315,deputatskiy,98,RU,1574189961,98,69.3,139.9,-9.18,1.21
316,sorong,62,ID,1574189961,98,-0.86,131.25,71.19,1.07
317,edd,0,ER,1574189962,54,13.93,41.69,86.16,5.35
318,porangatu,43,BR,1574189962,44,-13.44,-49.14,90.75,3.11
319,surgana,83,IN,1574189962,55,20.56,73.64,71.47,3.71
320,dyersburg,1,US,1574189962,51,36.03,-89.39,62.6,14.99
321,nacala,20,MZ,1574189962,88,-14.56,40.69,80.6,5.82
322,fortuna,75,US,1574189663,100,40.6,-124.16,55.99,8.05
323,port lincoln,40,AU,1574189963,22,-34.72,135.86,80.28,16.6
324,pingliang,100,CN,1574189963,64,35.54,106.68,35.89,2.46
325,rettikhovka,78,RU,1574189963,90,44.17,132.77,2.98,4.65
326,cruzeiro do sul,75,BR,1574189963,88,-7.63,-72.67,80.6,2.24
327,leona vicario,40,MX,1574189964,47,20.99,-87.21,82.0,4.7
328,hofn,100,IS,1574189964,72,64.25,-15.21,44.08,22.17
329,tigzirt,43,DZ,1574189964,86,36.57,4.2,43.14,1.9
330,general roca,61,AR,1574189964,8,-39.03,-67.58,93.2,9.17
331,mastic beach,90,US,1574189964,70,40.77,-72.85,48.99,5.82
332,kidal,83,ML,1574189964,9,18.44,1.41,79.38,11.43
333,moose factory,90,CA,1574189965,94,51.26,-80.61,32.0,4.7
334,bacungan,20,PH,1574189965,83,9.87,118.73,78.8,4.7
335,zhicheng,50,CN,1574189965,26,35.04,112.59,43.45,2.89
336,bosobolo,58,CD,1574189965,75,4.19,19.88,76.08,2.04
337,revda,100,RU,1574189966,90,67.94,34.55,25.61,6.4
338,banda aceh,82,ID,1574189966,91,5.56,95.32,73.26,3.71
339,ovsyanka,33,RU,1574189966,88,53.58,126.91,-13.72,2.21
340,grand bank,90,CA,1574189966,100,47.1,-55.77,50.0,19.46
341,vestmannaeyjar,100,IS,1574189966,78,63.44,-20.27,43.74,37.67
342,new milford,75,US,1574189967,61,40.94,-74.02,51.01,12.75
343,show low,40,US,1574189863,23,34.25,-110.03,66.99,17.22
344,acaponeta,25,MX,1574189967,41,22.49,-105.36,91.27,1.52
345,maracacume,61,BR,1574189967,56,-2.04,-45.96,86.31,7.78
346,norrkoping,75,SE,1574189967,93,58.59,16.18,44.6,4.7
347,kudahuvadhoo,50,MV,1574189968,76,2.67,72.89,82.9,10.2
348,punta alta,75,AR,1574189968,46,-27.46,-55.82,93.2,4.7
349,madimba,40,CM,1574189968,83,4.42,9.93,84.2,2.24
350,parrita,75,CR,1574189968,73,9.52,-84.33,77.0,8.05
351,college,75,US,1574189968,70,64.86,-147.8,1.99,6.93
352,neuquen,36,AR,1574189969,8,-38.95,-68.06,93.2,9.17
353,yulara,0,AU,1574189969,8,-25.24,130.99,77.0,6.93
354,swan hill,82,AU,1574189969,67,-35.34,143.56,57.9,7.83
355,meadow lake,90,CA,1574189969,85,54.13,-108.44,23.0,6.93
356,sur,0,OM,1574189969,67,22.57,59.53,74.59,5.61
357,grand gaube,40,MU,1574189970,83,-20.01,57.66,78.8,3.36
358,vila,75,IT,1574189970,100,45.18,8.4,48.0,6.93
359,holme,98,DK,1574189970,100,56.11,10.17,46.4,3.36
360,katsuura,75,JP,1574189970,66,33.93,134.5,50.0,11.41
361,lewiston,90,US,1574189699,93,44.1,-70.21,39.99,4.7
362,humaita,75,AR,1574189970,37,-24.93,-65.37,93.2,6.93
363,melfi,20,IT,1574189971,76,41.0,15.66,55.4,4.7
364,langres,75,FR,1574189971,80,47.87,5.33,36.0,3.36
365,airai,55,TL,1574189971,76,-8.93,125.41,64.99,2.68
366,cidreira,66,BR,1574189971,83,-30.17,-50.22,71.6,17.58
367,bandarbeyla,44,SO,1574189971,84,9.49,50.81,80.64,7.96
368,aljezur,100,PT,1574189972,69,37.31,-8.8,57.99,10.54
369,pag,20,HR,1574189972,87,44.45,15.06,51.8,3.36
370,chagoda,100,RU,1574189973,88,59.16,35.33,37.94,9.69
371,kavaratti,28,IN,1574189973,69,10.57,72.64,83.7,3.89
372,tura,49,RU,1574189973,76,64.27,100.22,-22.63,0.78
373,beyneu,4,KZ,1574189974,86,45.32,55.19,32.22,6.35
374,challapata,0,BO,1574189974,30,-18.9,-66.78,54.09,3.27
375,chernyshevskiy,5,RU,1574189974,88,63.01,112.47,-23.64,5.46
376,pula,75,EC,1574189974,65,-1.95,-79.93,82.4,5.82
377,sangar,100,RU,1574189974,96,63.92,127.47,-19.14,4.5
378,fort nelson,20,CA,1574189974,78,58.81,-122.69,12.2,5.82
379,chenzhou,51,CN,1574189975,67,25.81,113.03,51.17,0.87
380,crotone,40,IT,1574189975,82,39.09,17.12,57.2,3.36
381,flin flon,90,CA,1574189975,85,54.77,-101.88,21.2,11.41
382,baghdad,0,IQ,1574189841,39,33.3,44.38,50.0,8.05
383,jagannathpur,7,BD,1574189975,53,23.88,89.3,69.69,5.01
384,umm lajj,0,SA,1574189975,33,25.02,37.27,75.34,8.48
385,carauari,98,BR,1574189976,96,-4.88,-66.9,77.16,2.17
386,hokitika,26,NZ,1574189976,66,-42.72,170.96,54.07,22.68
